Country,Confirmed Cases,Reported Deaths,Recovered *
Taiwan,339,5,39
Réunion Island,308,0,-
Belarus,304,4,53
Burkina Faso,288,16,46
Cameroon,284,7,10
Jordan,278,5,36
Albania,277,16,67
Afghanistan,239,4,5
San Marino,236,28,13
Oman,231,1,34
Vietnam,227,0,63
Honduras,219,14,3
Cuba,212,6,12
Ghana,204,5,31
Malta,196,0,2
Senegal,195,1,45
Ivory Coast,190,1,-
Uzbekistan,190,2,12
Faroe Islands,177,0,-
Nigeria,174,2,9
Channel Islands,172,3,-
Mauritius,169,7,-
Palestine,160,1,-
Sri Lanka,151,3,21
Venezuela,144,3,41
Montenegro,140,2,-
Brunei,133,1,52
Martinique,131,3,-
Georgia,130,0,23
Puerto Rico,127,5,-
Guadeloupe,125,6,-
Bolivia,123,7,1
Democratic Republic of Congo,123,11,-
Kyrgyzstan,116,0,3
Mayotte,116,1,-
Cambodia,110,0,25
Kenya,110,3,3
Cruise ship (Grand Princess),103,2,-
Isle of Man,95,0,-
Kosovo,91,1,10
Trinidad and Tobago,90,5,1
Gibraltar,88,0,-
Rwanda,82,0,-
Paraguay,77,3,1
Niger,74,5,-
Liechtenstein,72,0,-
Madagascar,59,0,-
Bangladesh,56,6,25
Guam,56,1,-
Aruba,55,0,-
Monaco,55,1,2
Guinea,52,0,-
French Guiana,51,0,-
Guatemala,46,1,12
Barbados,45,0,-
Jamaica,44,3,2
Uganda,44,0,-
El Salvador,41,2,-
Macau,41,0,-
Djibouti,40,0,-
Zambia,39,1,-
French Polynesia,37,0,-
Togo,36,2,10
Bermuda,32,0,-
Mali,31,3,-
Ethiopia,29,0,2
US Virgin Islands,23,0,-
Cayman Islands,22,1,-
Congo,22,2,-
Saint Martin,22,1,-
Bahamas,21,1,1
Tanzania,20,1,1
Guyana,19,4,-
Maldives,19,0,13
Eritrea,18,0,-
Gabon,18,1,-
New Caledonia,18,0,-
Haiti,16,0,1
Myanmar,16,1,-
Syria,16,2,-
Equatorial Guinea,15,0,1
Mongolia,14,0,2
Namibia,14,0,2
Benin,13,0,1
Saint Lucia,13,0,1
Dominica,12,0,-
Curacao,11,1,-
Greenland,10,0,-
Grenada,10,0,-
Laos,10,0,-
Libya,10,0,-
Mozambique,10,0,-
Seychelles,10,0,-
Suriname,10,0,-
Eswatini,9,0,-
Guinea-Bissau,9,0,-
Angola,8,2,1
Central African Republic,8,0,-
Saint Kitts and Nevis,8,0,-
Zimbabwe,8,1,-
Antigua and Barbuda,7,0,-
Chad,7,0,-
Fiji,7,0,-
Sudan,7,2,2
Cape Verde,6,1,-
Liberia,6,0,-
Mauritania,6,1,2
Nepal,6,0,1
Saint Barthelemy,6,0,-
Vatican City,6,0,-
Bhutan,5,0,-
Montserrat,5,0,-
Nicaragua,5,1,-
Somalia,5,0,1
Turks and Caicos,5,0,-
Botswana,4,1,-
Gambia,4,1,2
Belize,3,0,-
British Virgin Islands,3,0,-
Malawi,3,0,-
Anguilla,2,0,-
Burundi,2,0,-
Saint Vincent and the Grenadines,2,0,1
Sierra Leone,2,0,-
Papua New Guinea,1,0,-
Timor-Leste,1,0,-
Total,"993,531","51,883","192,932"
"Last Updated:- Apr 3, 2020",,,
* Source for recovered cases: Johns Hopkins University. Numbers of recovered cases may not be exhaustive as not all countries report these statistics.,,,
